name,description,path,currency_base,currency_profit,digits,point,spread,trade_contract_size,volume_min,volume_max,swap_long,swap_short,margin_initial,visible
SGDHKD,Singapore Dollar vs Hong Kong Dollar,FX\Forex\SGDHKD,SGD,HKD,5,1e-05,0,100000.0,0.01,20.0,-4.0,-32.0,0.0,False
SGDJPY,Singapore Dollar vs Japanese Yen,FX\Forex\SGDJPY,SGD,JPY,3,0.001,0,100000.0,0.01,20.0,-9.23,-15.39,0.0,False
TRYJPY,New Turkish Lira vs Japanese Yen,FX\Forex\TRYJPY,TRY,JPY,3,0.001,0,100000.0,0.01,20.0,-1.56,-7.99,0.0,False
USDCNH,US Dollar vs Chinese Yuan Renminbi,FX\Forex\USDCNH,USD,CNH,4,0.0001,0,100000.0,0.01,20.0,-4.08,-7.98,0.0,False
USDCZK,US Dollar vs Czech Koruna,FX\Forex\USDCZK,USD,CZK,4,0.0001,0,100000.0,0.01,20.0,-13.36,-2.16,0.0,False
USDDKK,US Dollar vs Danish Krone,FX\Forex\USDDKK,USD,DKK,5,1e-05,0,100000.0,0.01,20.0,-19.12,-48.74,0.0,False
USDHKD,US Dollar vs Hong Kong Dollar,FX\Forex\USDHKD,USD,HKD,5,1e-05,0,100000.0,0.01,20.0,-12.64,-47.08,0.0,False
USDHUF,US Dollar vs Hungarian Forint,FX\Forex\USDHUF,USD,HUF,3,0.001,0,100000.0,0.01,20.0,-42.55,-2.56,0.0,False
USDILS,US Dollar vs Israeli Shekel,FX\Forex\USDILS,USD,ILS,5,1e-05,0,100000.0,0.01,20.0,-2.11,-13.11,0.0,False
USDMXN,US Dollar vs Mexican Peso,FX\Forex\USDMXN,USD,MXN,4,0.0001,0,100000.0,0.01,20.0,-36.79,-14.62,0.0,False
USDNOK,US Dollar vs Norway Krone,FX\Forex\USDNOK,USD,NOK,4,0.0001,0,100000.0,0.01,20.0,-2.91,-4.54,0.0,False
USDPLN,US Dollar vs Polish Zloty,FX\Forex\USDPLN,USD,PLN,5,1e-05,0,100000.0,0.01,20.0,-11.39,-4.5600000000000005,0.0,False
USDSEK,US Dollar vs Swedish Krona,FX\Forex\USDSEK,USD,SEK,5,1e-05,0,100000.0,0.01,20.0,-21.9,-62.69,0.0,False
USDSGD,US Dollar vs Singapore Dollar,FX\Forex\USDSGD,USD,SGD,5,1e-05,0,100000.0,0.01,20.0,-1.29,-10.15,0.0,False
USDTHB,US Dollar vs Thai Baht,FX\Forex\USDTHB,USD,THB,4,0.0001,0,100000.0,0.01,20.0,-30.0,-28.0,0.0,False
USDTRY,US Dollar vs Turkish Lira,FX\Forex\USDTRY,USD,TRY,5,1e-05,0,100000.0,0.01,20.0,-4440.92,-70.36,0.0,False
USDZAR,US Dollar vs South Africa Rand,FX\Forex\USDZAR,USD,ZAR,5,1e-05,0,100000.0,0.01,20.0,-221.38,-71.72,0.0,False
ZARJPY,South Africa Rand vs Japanese Yen,FX\Forex\ZARJPY,ZAR,JPY,3,0.001,0,100000.0,0.01,20.0,-1.34,-2.27,0.0,False
ASXAUD,Australia 200 Index,Indices\Indices\ASXAUD,AUD,AUD,1,0.1,0,10.0,0.01,10.0,-20.06,-2.34,0.0,False
DJIUSD,US 30 Index,Indices\Indices\DJIUSD,DJI,USD,2,0.01,0,10.0,0.01,10.0,-1090.3,-1552.53,0.0,False
ESXEUR,EURO 50 Index,Indices\Indices\ESXEUR,EUR,EUR,2,0.01,0,10.0,0.1,10.0,-190.51,-95.61,0.0,False
F40EUR,France 40 Index,Indices\Indices\F40EUR,EUR,EUR,2,0.01,0,10.0,0.01,10.0,-194.85,-103.92,0.0,False
FTSGBP,UK 100 Index,Indices\Indices\FTSGBP,GBP,GBP,2,0.01,0,10.0,0.01,10.0,-217.29,-6500.19,0.0,False
HSIHKD,Hong Kong 50 Index,Indices\Indices\HSIHKD,HKD,HKD,1,0.1,0,10.0,0.01,10.0,-42.64,-5.48,0.0,False
IBXEUR,Spain 35 Index,Indices\Indices\IBXEUR,EUR,EUR,2,0.01,0,10.0,0.01,10.0,-249.79,-17.84,0.0,False
NDXUSD,US 100 Index,Indices\Indices\NDXUSD,USD,USD,2,0.01,145,10.0,0.01,10.0,-507.84,-1070.51,0.0,True
NIKJPY,Japan 225 Index,Indices\Indices\NIKJPY,JPY,JPY,0,1.0,0,100.0,0.01,10.0,-5.0,-5.0,0.0,False
SPXUSD,US 500 Index,Indices\Indices\SPXUSD,USD,USD,2,0.01,0,10.0,0.01,10.0,-143.96,-247.79,0.0,False
XINUSD,China 50 Index (USD),Indices\Indices\XINUSD,USD,USD,2,0.01,0,10.0,0.1,10.0,-142.0,-142.0,0.0,False
