time,open,high,low,close,tick_vol,spread,real_vol,body,range,upper_wick,lower_wick,direction,hlc3,body_pct
2011-11-09 00:00:00+00:00,1786.22,1799.63,1764.07,1768.71,53416,0,0,17.50999999999999,35.56000000000017,13.410000000000082,4.6400000000001,-1,1777.47,0.4924071990987251
2011-11-10 00:00:00+00:00,1768.63,1775.31,1735.97,1758.04,51609,0,0,10.590000000000146,39.33999999999992,6.679999999999836,22.069999999999936,-1,1756.4399999999998,0.26919166242941656
2011-11-11 00:00:00+00:00,1758.04,1789.01,1744.04,1787.84,45225,0,0,29.799999999999955,44.97000000000003,1.1700000000000728,14.0,1,1773.63,0.6626639982195612
2011-11-14 00:00:00+00:00,1787.19,1795.86,1773.52,1780.14,44105,0,0,7.0499999999999545,22.339999999999918,8.669999999999845,6.620000000000118,-1,1783.1733333333334,0.3155774395688641
2011-11-15 00:00:00+00:00,1780.09,1785.8,1759.8,1780.44,48329,0,0,0.3500000000001364,26.0,5.3599999999999,20.289999999999964,1,1775.3466666666666,0.013461538461491934
2011-11-16 00:00:00+00:00,1780.39,1783.27,1753.09,1763.09,57590,0,0,17.300000000000182,30.180000000000064,2.8799999999998818,10.0,-1,1766.4833333333333,0.5732273028476748
2011-11-17 00:00:00+00:00,1763.34,1766.69,1710.26,1720.94,60386,0,0,42.399999999999864,56.430000000000064,3.3500000000001364,10.680000000000064,-1,1732.6299999999999,0.7513733829509955
2011-11-18 00:00:00+00:00,1720.99,1737.22,1710.72,1722.94,53642,0,0,1.9500000000000455,26.5,14.279999999999973,10.269999999999982,1,1723.6266666666668,0.0735849056601014
2011-11-21 00:00:00+00:00,1721.92,1726.15,1665.19,1676.94,127870,0,0,44.98000000000002,60.960000000000036,4.230000000000018,11.75,-1,1689.426666666667,0.7378608923872408
2011-11-22 00:00:00+00:00,1676.84,1705.29,1667.51,1699.39,56716,0,0,22.550000000000182,37.77999999999997,5.899999999999864,9.329999999999927,1,1690.7300000000002,0.5968766543128774
2011-11-23 00:00:00+00:00,1699.34,1709.87,1676.98,1690.7,53305,0,0,8.639999999999873,32.88999999999987,10.529999999999973,13.720000000000027,-1,1692.5166666666667,0.2626938279104176
2011-11-24 00:00:00+00:00,1690.64,1701.64,1687.41,1694.49,30550,0,0,3.849999999999909,14.230000000000018,7.150000000000091,3.230000000000018,1,1694.5133333333333,0.2705551651421538
2011-11-25 00:00:00+00:00,1694.59,1697.59,1671.56,1682.33,37481,0,0,12.259999999999991,26.029999999999973,3.0,10.769999999999982,-1,1683.8266666666666,0.47099500576077236
2011-11-28 00:00:00+00:00,1682.61,1720.49,1681.16,1712.37,108271,0,0,29.75999999999999,39.32999999999993,8.120000000000118,1.449999999999818,1,1704.6733333333334,0.7566742944298087
2011-11-29 00:00:00+00:00,1712.25,1719.91,1703.48,1715.29,49258,0,0,3.0399999999999636,16.430000000000064,4.620000000000118,8.769999999999982,1,1712.8933333333334,0.1850273889215733
2011-11-30 00:00:00+00:00,1715.34,1750.14,1700.44,1745.95,56806,0,0,30.610000000000127,49.700000000000045,4.190000000000055,14.899999999999864,1,1732.1766666666665,0.6158953722321632
2011-12-01 00:00:00+00:00,1746.46,1754.12,1732.1,1744.53,103645,0,0,1.9300000000000637,22.019999999999982,7.6599999999998545,12.430000000000064,-1,1743.5833333333333,0.08764759309678931
2011-12-02 00:00:00+00:00,1743.38,1763.03,1736.38,1746.12,100112,0,0,2.7399999999997817,26.649999999999864,16.910000000000082,7.0,1,1748.51,0.10281425891142644
